Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",42,16522-767075399-767075440-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,14/08/2024,Jawl Properties Ltd.,Retirement for Person or Organization,"Offsetting the operational carbon of 3350 Douglas Street for the period of April 2023- March 2024, (21 credits) and 21 credits to approximately offset the previous years emissions."
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",100,16522-767075441-767075540-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",648,16522-767075541-767076188-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","5,700",16522-767076189-767081888-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","198,141",16522-767081889-767280029-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2021,31/12/2021,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"172,832",571,16523-767280030-767280600-VCS-VCU-261-VER-CA-14-607-01012021-31122021-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,25/09/2024,Power Corporation of Canada,Retirement for Person or Organization,The Nature Conservancy of Canada is retiring 571 VCUs (vintage 2021) from the Darkwoods Forest Carbon Project on behalf of Power Corporation of Canada for the purpose of offsetting a portion of Power Corporation of Canada’s scope 1 and scope 2 2023 GHG emissions.
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2021,31/12/2021,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"172,832","172,261",16523-767280601-767452861-VCS-VCU-261-VER-CA-14-607-01012021-31122021-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
23/01/2024,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land,16/06/2022,30/09/2022,2942,Clean Cooking - Cook Stove for Rural India,India,Energy,"148,546","148,546",16212-749211828-749360373-VCS-VCU-262-VER-IN-3-2942-16062022-30092022-1,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land,,,,
29/09/2023,05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land,22/04/2022,31/08/2022,2676,Community Carbon Efficient Cooking Programme - Tanzania-1,Tanzania,Energy,"1,193",269,15724-713798960-713799228-VCS-VCU-1289-VER-TZ-3-2676-22042022-31082022-1,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land; Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes,,,,
29/09/2023,05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land,22/04/2022,31/08/2022,2676,Community Carbon Efficient Cooking Programme - Tanzania-1,Tanzania,Energy,"1,193",924,15724-713799229-713800152-VCS-VCU-1289-VER-TZ-3-2676-22042022-31082022-1,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land; Article 6 Authorized – Intl mitigation purposes; Article 6 Authorized – NDC Use; Article 6 Authorized – Other purposes,,,,
09/06/2023,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/03/2022,15/09/2022,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"305,989","50,000",15288-673029858-673079857-VCS-VCU-1289-VER-ZM-3-2371-01032022-15092022-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,,,,
09/06/2023,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/03/2022,15/09/2022,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"305,989","55,708",15288-673079858-673135565-VCS-VCU-1289-VER-ZM-3-2371-01032022-15092022-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,,,,
09/06/2023,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,01/03/2022,15/09/2022,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Zambia,Energy,"305,989","200,281",15288-673135566-673335846-VCS-VCU-1289-VER-ZM-3-2371-01032022-15092022-1,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land,,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",100,15023-638947258-638947357-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",14/04/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","14,954",15023-639056168-639071121-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",25/07/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",150,15023-638947936-638948085-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",11/05/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","50,000",15023-638948086-638998085-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",18,15023-638947358-638947375-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",11/05/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",172,15023-638947596-638947767-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",11/05/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","1,334",15023-638998086-638999419-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",18/04/2023,Aspen Insurance Holdings,Retirement for Person or Organization,Retired on behalf of Aspen Insurance Holdings to compensate for their 2022 carbon emissions
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","4,722",15023-638999420-639004141-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",22/06/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",100,15023-638947376-638947475-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",13/11/2023,Carbon Neutral Indiana,Retirement for Person or Organization,on behalf of Carbon Neutral Indiana's members
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",168,15023-638947768-638947935-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",21/04/2024,ClimeCo Customers,Retirement for Person or Organization,Retired on behalf of ClimeCo Referral Customers
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","1,509",15023-639071122-639072630-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",15/06/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",496,15023-639072631-639073126-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",21/04/2024,ClimeCo Customers,Retirement for Person or Organization,Retired on behalf of ClimeCo Referral Customers
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","5,000",15023-639091257-639096256-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",16/08/2023,Retired on behalf of Axium Infrastructure Inc.,Retirement for Person or Organization,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","3,165",15023-639004142-639007306-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",12/12/2023,British Columbia Investment Management Corporation,Retirement for Person or Organization,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",1,15023-639096257-639096257-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",1,15023-639096258-639096258-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",18/10/2023,Taitung County Environmental Protection Bureau(臺東縣環境保護局),Retirement for Person or Organization,"Retired for the event ""一起碳索布谷拉夫-零碳布農生活一日遊"" organized by the Taitung County Environmental Protection Bureau on 10/22/2023"
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",4,15023-639101258-639101261-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",18/10/2023,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","3,924",15023-639007307-639011230-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",14/08/2024,British Columbia Investment Management Corporation,Retirement for Person or Organization,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","4,999",15023-639096259-639101257-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","8,000",15023-639101262-639109261-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",26/02/2024,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",100,15023-638947476-638947575-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",28/12/2023,Hilton Customers,Retirement for Person or Organization,On behalf of Hilton Customers for Carbon Neutral Meetings
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",138,15023-639073127-639073264-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",28/12/2023,Hilton Customers,Retirement for Person or Organization,On behalf of Hilton Customers for Carbon Neutral Meetings
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",20,15023-638947576-638947595-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",31/01/2024,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",130,15023-639073265-639073394-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",31/01/2024,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640",150,15023-639073395-639073544-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",31/01/2024,,,
06/04/2023,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land,01/01/2018,31/12/2018,3018,BigCoast Forest Climate Initiative,Canada,Agriculture Forestry and Other Land Use,"310,640","1,650",15023-639073545-639075194-VCS-VCU-263-VER-CA-14-3018-01012018-31122018-1,"06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; CORSIA – Pilot Phase, 2021-2023",08/08/2024,Brambles Industries Limited,Environmental Benefit,Retired on behalf of Brambles Industries Limited to cover Financial Year FY24 H1 Scope 1 emissions
